Address,Lat,Lon,Flood_Zone,nine,twentyone,thirtysix,Reclaimed,Flipped,Price,Price_Diff,Proptype,Year_Built,Times_Sold,Year_Sold
222 Commonwealth Ave,42.350624,-71.081569,0,0,0,0,1,0,8100000,0,Apartment,1900,1,2020
288 Commonwealth Ave #3,42.350341,-71.084721,0,0,0,0,1,0,8050000,0,Condominium,1899,1,2021
198 Hillside St,42.332004,-71.109315,0,0,0,0,0,0,8037500,0,Apartment,1960,2,2020
114 Elm Hill Ave,42.308705,-71.088004,0,0,0,0,0,0,8023500,0,Condominium,1899,1,2005
200-202 Beacon St #1,42.353957,-71.078032,0,0,0,0,1,0,8000000,0,Condominium,1890,1,2021
393 Beacon St,42.351898,-71.085209,0,0,0,0,1,0,8000000,0,Apartment,1899,1,2022
395 Beacon St,42.351878,-71.08529,0,0,0,0,1,0,8000000,0,Apartment,0,1,2022
4-6 Newbury St #501,42.352399,-71.072124,0,0,0,0,1,0,8000000,0,Condominium,2012,1,2015
4-6 Newbury St #502,42.352399,-71.072124,0,0,0,0,1,0,8000000,0,Condominium,2012,1,2015
58 Chestnut St,42.35699,-71.069611,0,0,0,1,1,0,8000000,0,Two-Family,1824,1,2017
1 Dalton St #5104,42.345267,-71.084125,0,0,0,0,1,0,7990000,0,Condominium,2015,1,2019
54 Holworthy St,42.316388,-71.089823,0,0,0,0,0,0,7965000,10778000,Apartment,1935,3,2012
365 Beacon St,42.352205,-71.084065,0,0,0,0,1,0,7950000,0,Apartment,1899,1,2016
14 Walnut St,42.357908,-71.066022,0,0,0,0,0,0,7900000,0,Single-Family,1900,1,2014
361 Beacon St #3,42.352167,-71.084516,0,0,0,0,1,0,7900000,200000,Condominium,1899,2,2022
87 Hano St,42.354958,-71.137427,0,0,0,0,0,0,7875000,3533000,Single-Family,2006,4,2022
1 Dalton St #4501,42.345267,-71.084125,0,0,0,0,1,0,7850000,0,Condominium,2015,1,2019
1 Dalton St #4704,42.345267,-71.084125,0,0,0,0,1,0,7850000,0,Condominium,2015,1,2022
140 Navarre St,42.274151,-71.117701,0,0,0,0,0,0,7800000,0,Apartment,1964,1,2014
91-93A Prince St,42.365705,-71.055995,0,0,0,0,0,0,7775000,0,Apartment,1910,1,2012
101 Beacon St,42.355292,-71.072767,0,0,0,1,1,0,7750000,0,Apartment,1905,1,2014
1 Dalton St #4604,42.345267,-71.084125,0,0,0,0,1,0,7725000,0,Condominium,2015,1,2020
52 Beacon St #2,42.356436,-71.068401,0,0,0,0,0,0,7700000,0,Condominium,1899,1,2022
237 Marlborough St,42.352075,-71.081943,0,0,0,0,1,0,7698500,1950000,Single-Family,1899,3,2018
3 Sewall St,42.331773,-71.09808,0,0,0,0,0,0,7698500,11140000,Single-Family,0,3,2000
2 Commonwealth Ave #16F,42.353354,-71.071403,0,0,0,0,1,0,7682000,0,Condominium,1982,1,2018
400 Stuart St #PH3,42.348934,-71.074349,0,0,0,0,1,0,7662500,2875000,Condominium,2009,2,2013
31-33 Commonwealth Ave #3,42.353258,-71.074211,0,0,0,0,1,0,7650000,0,Condominium,1910,1,2017
27 Commonwealth Ave #27,42.353346,-71.073873,0,0,0,0,1,0,7600000,0,Condominium,1890,1,2017
6 Marlborough St,42.35435,-71.073218,0,0,0,0,1,0,7525000,1550000,Apartment,1899,2,2007
2 Commonwealth Ave #14F,42.353354,-71.071403,0,0,0,0,1,0,7500000,0,Condominium,1982,1,2020
20 Royce Rd,42.349485,-71.131758,0,0,0,0,0,0,7500000,0,Apartment,1930,1,2012
149 Park Dr,42.341118,-71.098106,0,0,0,0,0,0,7466500,0,Apartment,1910,1,2005
24-26 Hichborn St,42.355482,-71.143983,0,0,0,0,0,0,7465000,13070000,Apartment,2017,2,2017
208 Beacon St,42.354042,-71.078075,0,0,0,0,1,0,7450000,6600000,Single-Family,1863,2,2004
233 Beacon St,42.353827,-71.078158,0,0,0,0,1,0,7400000,0,Apartment,1910,1,2017
318 Beacon St,42.352709,-71.082949,0,0,0,1,1,0,7400000,0,Apartment,1899,1,2013
1 Dalton St #4504,42.345267,-71.084125,0,0,0,0,1,0,7300000,0,Condominium,2015,1,2020
1 Dalton St #4804,42.345267,-71.084125,0,0,0,0,1,0,7300000,0,Condominium,2015,1,2020
